Project,Package,Class,Method,Smell,Description,Method start line no,File,Status,Reason/Commit
main,com.asdc.unicarpool.component,TokenExtractor,extractBannerIdFromToken,Magic Number,The method contains a magic number: 7,21,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\component\TokenExtractor.java,True Positive,Commit Hash: fa25c14918ba0fa3cb01673f33859a35eca9fbed
main,com.asdc.unicarpool.config,JwtAuthenticationFilter,doFilterInternal,Magic Number,The method contains a magic number: 7,32,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\config\JwtAuthenticationFilter.java,True Positive,Commit Hash: fa25c14918ba0fa3cb01673f33859a35eca9fbed
main,com.asdc.unicarpool.service.impl,AuthService,AuthService,Long Parameter List,The method has 5 parameters. ,36,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\AuthService.java,False Positive,This is the constructor and we are using constructor dependency injection.
main,com.asdc.unicarpool.service.impl,RatingReviewService,submitReview,Magic Number,The method contains a magic number: 5,24,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\RatingReviewService.java,True Positive,Commit Hash: fa25c14918ba0fa3cb01673f33859a35eca9fbed
main,com.asdc.unicarpool.service.impl,RideRequestService,RideRequestService,Long Parameter List,The method has 6 parameters. ,46,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\RideRequestService.java,False Positive,This is the constructor and we are using constructor dependency injection.
main,com.asdc.unicarpool.service.impl,RideService,RideService,Long Parameter List,The method has 6 parameters. ,41,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\RideService.java,False Positive,This is the constructor and we are using constructor dependency injection.
main,com.asdc.unicarpool.service.impl,VerificationService,sendVerificationCode,Magic Number,The method contains a magic number: 60,40,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\VerificationService.java,True Positive,Commit Hash: fa25c14918ba0fa3cb01673f33859a35eca9fbed
main,com.asdc.unicarpool.service.impl,VerificationService,generateVerificationCode,Magic Number,The method contains a magic number: 10,98,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\VerificationService.java,True Positive,Commit Hash: fa25c14918ba0fa3cb01673f33859a35eca9fbed
main,com.asdc.unicarpool.service.impl,VerificationService,generateVerificationCode,Magic Number,The method contains a magic number: 10,98,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\VerificationService.java,True Positive,Commit Hash: fa25c14918ba0fa3cb01673f33859a35eca9fbed
main,com.asdc.unicarpool.util.TokenUtil,JwtUtil,createToken,Magic Number,The method contains a magic number: 1000,30,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\util\TokenUtil\JwtUtil.java,True Positive,Commit Hash: fa25c14918ba0fa3cb01673f33859a35eca9fbed
main,com.asdc.unicarpool.config,JwtAuthenticationFilter,doFilterInternal,Long Statement,"The length of the statement ""UsernamePasswordAuthenticationToken authToken=new UsernamePasswordAuthenticationToken(userDetails`null`userDetails.getAuthorities());"" is 133.",32,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\config\JwtAuthenticationFilter.java,False Positive,This is standard object initialization using constructor
main,com.asdc.unicarpool.config,MapperConfig,modelMapper,Long Statement,"The length of the statement ""mapper.getConfiguration().setFieldMatchingEnabled(true).setMatchingStrategy(MatchingStrategies.STRICT).setFieldAccessLevel(org.modelmapper.config.Configuration.AccessLevel.PRIVATE);"" is 181.",23,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\config\MapperConfig.java,False Positive,This is standard Mapper API calling.
main,com.asdc.unicarpool.config,SecurityConfig,securityFilterChain,Long Statement,"The length of the statement ""http.csrf(csrf -> csrf.disable()).authorizeHttpRequests(auth -> auth.requestMatchers(""/api/v1/user/register""`""/api/v1/auth/login""`""/api/v1/auth/verification-code""`""/api/v1/auth/verify-code""`""/api/v1/auth/**""`""/api/v1/rider/ride/active"").permitAll().requestMatchers(""/api/v1/**"").authenticated().anyRequest().authenticated()).exceptionHandling(ex -> ex.authenticationEntryPoint(jwtAuthenticationEntryPoint)).sessionManagement(session -> session.sessionCreationPolicy(SessionCreationPolicy.STATELESS)).addFilterBefore(jwtAuthFilter`UsernamePasswordAuthenticationFilter.class);"" is 574.",32,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\config\SecurityConfig.java,False Positive,This is standard Spring Security API which is generally long as it create long chain
main,com.asdc.unicarpool.controller,AuthController,verifyCode,Long Statement,"The length of the statement ""if (verificationCodeRequest.getCode() == null || verificationCodeRequest.getCode().isEmpty()) throw new InvalidArgumentException(""Verification Code is required"");"" is 162.",53,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\controller\AuthController.java,False Positive,This is standard validation practice
main,com.asdc.unicarpool.controller,AuthController,verifyCode,Long Statement,"The length of the statement ""BaseResponse response=authService.verifyEmail(verificationCodeRequest.getBannerId()`Integer.parseInt(verificationCodeRequest.getCode()));"" is 137.",53,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\controller\AuthController.java,True Positive,Commit Hash: d3e006adda3ee13bb09555e42d9c0aa2dd18795c
main,com.asdc.unicarpool.controller,AuthController,recoverPassword,Long Statement,"The length of the statement ""if (resetPasswordRequest.getCode() == null || resetPasswordRequest.getCode().isEmpty()) throw new InvalidArgumentException(""Verification Code is required"");"" is 156.",68,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\controller\AuthController.java,False Positive,This is standard validation practice
main,com.asdc.unicarpool.controller,AuthController,recoverPassword,Long Statement,"The length of the statement ""BaseResponse response=authService.recoverPassword(resetPasswordRequest.getBannerId()`Integer.parseInt(resetPasswordRequest.getCode())`resetPasswordRequest.getPassword());"" is 170.",68,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\controller\AuthController.java,True Positive,Commit Hash: d3e006adda3ee13bb09555e42d9c0aa2dd18795c
main,com.asdc.unicarpool.controller,DriverController,acceptRideRequest,Long Statement,"The length of the statement ""UpdateRideRequestStatusRequest updateStatusRequest=UpdateRideRequestStatusRequest.builder().rideRequestId(rideRequestId).driverBannerId(driverBannerId).status(RideRequestStatus.ACCEPTED).build();"" is 195.",59,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\controller\DriverController.java,False Positive,This is standard Implementation of builder pattern which is generally long
